room_id,room_name,tier,check_in_date,day_of_week,days_out,rate,rack_low,rack_high,rack_mid,rack_floor,seasonal_index,event_multiplier,active_events,is_weekend,occupancy_rate,effective_demand,competitor_avg,rate_vs_rack_pct,rate_vs_comp_pct,reasoning,Rhett House Inn,City Loft Hotel,Beaufort Inn,Cuthbert House Inn,607 Bay Inn,Airbnb Near Bay Street (avg)
201,Waterfront 201,waterfront,2026-07-20,Monday,76,650,389,459,424.0,330.65,1.18,1.3,['Annual Beaufort Water Festival'],False,0.75,1.3,409.17,53.3,58.9,76d out → rack rate | Events: Annual Beaufort Water Festival (×1.30),490,335,415,480,395,340
202,Waterfront 202,waterfront,2026-07-20,Monday,76,650,389,459,424.0,330.65,1.18,1.3,['Annual Beaufort Water Festival'],False,0.75,1.3,409.17,53.3,58.9,76d out → rack rate | Events: Annual Beaufort Water Festival (×1.30),490,335,415,480,395,340
203,Waterfront 203,waterfront,2026-07-20,Monday,76,660,399,459,429.0,339.15,1.18,1.3,['Annual Beaufort Water Festival'],False,0.75,1.3,409.17,53.8,61.3,76d out → rack rate | Events: Annual Beaufort Water Festival (×1.30),490,335,415,480,395,340
204,Waterfront 204,waterfront,2026-07-20,Monday,76,665,409,459,434.0,347.65,1.18,1.3,['Annual Beaufort Water Festival'],False,0.75,1.3,409.17,53.2,62.5,76d out → rack rate | Events: Annual Beaufort Water Festival (×1.30),490,335,415,480,395,340
301,Water View 301,water_view,2026-07-20,Monday,76,530,319,369,344.0,271.15,1.18,1.3,['Annual Beaufort Water Festival'],False,0.75,1.3,409.17,54.1,29.5,76d out → rack rate | Events: Annual Beaufort Water Festival (×1.30),490,335,415,480,395,340
302,Water View 302,water_view,2026-07-20,Monday,76,530,319,369,344.0,271.15,1.18,1.3,['Annual Beaufort Water Festival'],False,0.75,1.3,409.17,54.1,29.5,76d out → rack rate | Events: Annual Beaufort Water Festival (×1.30),490,335,415,480,395,340
303,Water View 303,water_view,2026-07-20,Monday,76,535,329,369,349.0,279.65,1.18,1.3,['Annual Beaufort Water Festival'],False,0.75,1.3,409.17,53.3,30.8,76d out → rack rate | Events: Annual Beaufort Water Festival (×1.30),490,335,415,480,395,340
304,Water View 304,water_view,2026-07-20,Monday,76,520,319,359,339.0,271.15,1.18,1.3,['Annual Beaufort Water Festival'],False,0.75,1.3,409.17,53.4,27.1,76d out → rack rate | Events: Annual Beaufort Water Festival (×1.30),490,335,415,480,395,340
305,Water View 305,water_view,2026-07-20,Monday,76,535,329,369,349.0,279.65,1.18,1.3,['Annual Beaufort Water Festival'],False,0.75,1.3,409.17,53.3,30.8,76d out → rack rate | Events: Annual Beaufort Water Festival (×1.30),490,335,415,480,395,340
101,Garden Room 101,garden,2026-07-20,Monday,76,435,269,299,284.0,228.65,1.18,1.3,['Annual Beaufort Water Festival'],False,0.75,1.3,409.17,53.2,6.3,76d out → rack rate | Events: Annual Beaufort Water Festival (×1.30),490,335,415,480,395,340
102,Garden Room 102,garden,2026-07-20,Monday,76,435,269,299,284.0,228.65,1.18,1.3,['Annual Beaufort Water Festival'],False,0.75,1.3,409.17,53.2,6.3,76d out → rack rate | Events: Annual Beaufort Water Festival (×1.30),490,335,415,480,395,340
103,Garden Room 103,garden,2026-07-20,Monday,76,445,279,299,289.0,237.15,1.18,1.3,['Annual Beaufort Water Festival'],False,0.75,1.3,409.17,54.0,8.8,76d out → rack rate | Events: Annual Beaufort Water Festival (×1.30),490,335,415,480,395,340
104,Garden Room 104,garden,2026-07-20,Monday,76,430,269,289,279.0,228.65,1.18,1.3,['Annual Beaufort Water Festival'],False,0.75,1.3,409.17,54.1,5.1,76d out → rack rate | Events: Annual Beaufort Water Festival (×1.30),490,335,415,480,395,340
cottage,Private Cottage,cottage,2026-07-20,Monday,76,795,489,549,519.0,415.65,1.18,1.3,['Annual Beaufort Water Festival'],False,0.75,1.3,409.17,53.2,94.3,76d out → rack rate | Events: Annual Beaufort Water Festival (×1.30),490,335,415,480,395,340
