,predicted_price,current_price,price_delta,pct_change,action
0,450.4,450,0.4,0.09,increase
1,450.4,450,0.4,0.09,increase
2,458.97,460,-1.03,-0.22,decrease
3,464.83,465,-0.17,-0.04,decrease
4,365.5,365,0.5,0.14,increase
5,365.5,365,0.5,0.14,increase
6,369.33,370,-0.67,-0.18,decrease
7,361.87,360,1.87,0.52,increase
8,369.33,370,-0.67,-0.18,decrease
9,304.97,305,-0.03,-0.01,decrease
10,304.97,305,-0.03,-0.01,decrease
11,308.4,310,-1.6,-0.52,decrease
12,301.6,300,1.6,0.53,increase
13,555.1,555,0.1,0.02,increase
14,450.53,450,0.53,0.12,increase
15,450.53,450,0.53,0.12,increase
16,459.53,460,-0.47,-0.1,decrease
17,463.87,465,-1.13,-0.24,decrease
18,364.87,365,-0.13,-0.04,decrease
19,364.87,365,-0.13,-0.04,decrease
20,369.53,370,-0.47,-0.13,decrease
21,360.87,360,0.87,0.24,increase
22,369.53,370,-0.47,-0.13,decrease
23,304.17,305,-0.83,-0.27,decrease
24,304.17,305,-0.83,-0.27,decrease
25,309.43,310,-0.57,-0.18,decrease
26,300.83,300,0.83,0.28,increase
27,555.9,555,0.9,0.16,increase
28,452.67,450,2.67,0.59,increase
29,452.67,450,2.67,0.59,increase
30,459.27,460,-0.73,-0.16,decrease
31,461.13,465,-3.87,-0.83,decrease
32,364.43,365,-0.57,-0.16,decrease
33,364.43,365,-0.57,-0.16,decrease
34,369.83,370,-0.17,-0.05,decrease
35,361.53,360,1.53,0.43,increase
36,369.83,370,-0.17,-0.05,decrease
37,304.8,305,-0.2,-0.07,decrease
38,304.8,305,-0.2,-0.07,decrease
39,310.0,310,0.0,0.0,hold
40,301.23,300,1.23,0.41,increase
41,558.57,555,3.57,0.64,increase
42,645.5,645,0.5,0.08,increase
43,645.5,645,0.5,0.08,increase
44,648.83,650,-1.17,-0.18,decrease
45,659.9,660,-0.1,-0.02,decrease
46,519.67,520,-0.33,-0.06,decrease
47,519.67,520,-0.33,-0.06,decrease
48,530.87,530,0.87,0.16,increase
49,505.17,515,-9.83,-1.91,decrease
50,530.87,530,0.87,0.16,increase
51,429.33,430,-0.67,-0.16,decrease
52,429.33,430,-0.67,-0.16,decrease
53,442.63,440,2.63,0.6,increase
54,425.23,425,0.23,0.05,increase
55,789.7,790,-0.3,-0.04,decrease
56,580.23,580,0.23,0.04,increase
57,580.23,580,0.23,0.04,increase
58,584.67,585,-0.33,-0.06,decrease
59,593.63,595,-1.37,-0.23,decrease
60,469.97,470,-0.03,-0.01,decrease
61,469.97,470,-0.03,-0.01,decrease
62,475.1,475,0.1,0.02,increase
63,466.83,465,1.83,0.39,increase
64,475.1,475,0.1,0.02,increase
65,390.23,390,0.23,0.06,increase
66,390.23,390,0.23,0.06,increase
67,393.6,395,-1.4,-0.35,decrease
68,380.73,380,0.73,0.19,increase
69,711.13,710,1.13,0.16,increase
70,465.07,465,0.07,0.01,increase
71,465.07,465,0.07,0.01,increase
72,470.03,470,0.03,0.01,increase
73,474.93,475,-0.07,-0.01,decrease
74,380.0,380,0.0,0.0,hold
75,380.0,380,0.0,0.0,hold
76,385.0,385,0.0,0.0,hold
77,374.97,375,-0.03,-0.01,decrease
78,385.0,385,0.0,0.0,hold
79,310.0,310,0.0,0.0,hold
80,310.0,310,0.0,0.0,hold
81,320.0,320,0.0,0.0,hold
82,305.0,305,0.0,0.0,hold
83,569.7,570,-0.3,-0.05,decrease
84,464.83,465,-0.17,-0.04,decrease
85,464.83,465,-0.17,-0.04,decrease
86,468.07,470,-1.93,-0.41,decrease
87,474.77,475,-0.23,-0.05,decrease
88,380.0,380,0.0,0.0,hold
89,380.0,380,0.0,0.0,hold
90,385.0,385,0.0,0.0,hold
91,374.93,375,-0.07,-0.02,decrease
92,385.0,385,0.0,0.0,hold
93,309.93,310,-0.07,-0.02,decrease
94,309.93,310,-0.07,-0.02,decrease
95,319.8,320,-0.2,-0.06,decrease
96,304.73,305,-0.27,-0.09,decrease
97,569.9,570,-0.1,-0.02,decrease
98,465.03,465,0.03,0.01,increase
99,465.03,465,0.03,0.01,increase
100,469.97,470,-0.03,-0.01,decrease
101,474.93,475,-0.07,-0.01,decrease
102,380.0,380,0.0,0.0,hold
103,380.0,380,0.0,0.0,hold
104,385.0,385,0.0,0.0,hold
105,374.97,375,-0.03,-0.01,decrease
106,385.0,385,0.0,0.0,hold
107,310.0,310,0.0,0.0,hold
108,310.0,310,0.0,0.0,hold
109,320.0,320,0.0,0.0,hold
110,305.0,305,0.0,0.0,hold
111,569.9,570,-0.1,-0.02,decrease
112,465.03,465,0.03,0.01,increase
113,465.03,465,0.03,0.01,increase
114,469.97,470,-0.03,-0.01,decrease
115,474.93,475,-0.07,-0.01,decrease
116,380.0,380,0.0,0.0,hold
117,380.0,380,0.0,0.0,hold
118,385.0,385,0.0,0.0,hold
119,374.97,375,-0.03,-0.01,decrease
120,385.0,385,0.0,0.0,hold
121,310.0,310,0.0,0.0,hold
122,310.0,310,0.0,0.0,hold
123,320.0,320,0.0,0.0,hold
124,305.0,305,0.0,0.0,hold
125,570.0,570,0.0,0.0,hold
126,464.93,465,-0.07,-0.01,decrease
127,464.93,465,-0.07,-0.01,decrease
128,468.07,470,-1.93,-0.41,decrease
129,474.73,475,-0.27,-0.06,decrease
130,380.0,380,0.0,0.0,hold
131,380.0,380,0.0,0.0,hold
132,385.0,385,0.0,0.0,hold
133,374.93,375,-0.07,-0.02,decrease
134,385.0,385,0.0,0.0,hold
135,309.93,310,-0.07,-0.02,decrease
136,309.93,310,-0.07,-0.02,decrease
137,319.8,320,-0.2,-0.06,decrease
138,304.73,305,-0.27,-0.09,decrease
139,570.0,570,0.0,0.0,hold
140,535.4,535,0.4,0.07,increase
141,535.4,535,0.4,0.07,increase
142,543.5,545,-1.5,-0.28,decrease
143,550.7,550,0.7,0.13,increase
144,434.5,435,-0.5,-0.11,decrease
145,434.5,435,-0.5,-0.11,decrease
146,438.93,440,-1.07,-0.24,decrease
147,431.1,430,1.1,0.26,increase
148,438.93,440,-1.07,-0.24,decrease
149,360.0,360,0.0,0.0,hold
150,360.0,360,0.0,0.0,hold
151,364.23,365,-0.77,-0.21,decrease
152,355.83,355,0.83,0.23,increase
153,652.23,655,-2.77,-0.42,decrease
154,582.03,580,2.03,0.35,increase
155,582.03,580,2.03,0.35,increase
156,589.0,585,4.0,0.68,increase
157,590.93,595,-4.07,-0.68,decrease
158,471.67,470,1.67,0.35,increase
159,471.67,470,1.67,0.35,increase
160,474.43,475,-0.57,-0.12,decrease
161,466.5,465,1.5,0.32,increase
162,474.43,475,-0.57,-0.12,decrease
163,390.67,390,0.67,0.17,increase
164,390.67,390,0.67,0.17,increase
165,393.1,395,-1.9,-0.48,decrease
166,381.27,380,1.27,0.33,increase
167,725.57,710,15.57,2.19,increase
168,465.0,465,0.0,0.0,hold
169,465.0,465,0.0,0.0,hold
170,469.93,470,-0.07,-0.01,decrease
171,474.87,475,-0.13,-0.03,decrease
172,380.0,380,0.0,0.0,hold
173,380.0,380,0.0,0.0,hold
174,385.0,385,0.0,0.0,hold
175,374.97,375,-0.03,-0.01,decrease
176,385.0,385,0.0,0.0,hold
177,310.0,310,0.0,0.0,hold
178,310.0,310,0.0,0.0,hold
179,320.0,320,0.0,0.0,hold
180,305.0,305,0.0,0.0,hold
181,570.0,570,0.0,0.0,hold
182,465.0,465,0.0,0.0,hold
183,465.0,465,0.0,0.0,hold
184,469.93,470,-0.07,-0.01,decrease
185,474.87,475,-0.13,-0.03,decrease
186,380.0,380,0.0,0.0,hold
187,380.0,380,0.0,0.0,hold
188,385.0,385,0.0,0.0,hold
189,374.97,375,-0.03,-0.01,decrease
190,385.0,385,0.0,0.0,hold
191,310.0,310,0.0,0.0,hold
192,310.0,310,0.0,0.0,hold
193,320.0,320,0.0,0.0,hold
194,305.0,305,0.0,0.0,hold
195,570.0,570,0.0,0.0,hold
196,464.97,465,-0.03,-0.01,decrease
197,464.97,465,-0.03,-0.01,decrease
198,469.67,470,-0.33,-0.07,decrease
199,474.73,475,-0.27,-0.06,decrease
200,380.0,380,0.0,0.0,hold
201,380.0,380,0.0,0.0,hold
202,385.0,385,0.0,0.0,hold
203,374.87,375,-0.13,-0.04,decrease
204,385.0,385,0.0,0.0,hold
205,310.0,310,0.0,0.0,hold
206,310.0,310,0.0,0.0,hold
207,319.93,320,-0.07,-0.02,decrease
208,305.0,305,0.0,0.0,hold
209,570.0,570,0.0,0.0,hold
210,550.27,550,0.27,0.05,increase
211,550.27,550,0.27,0.05,increase
212,555.67,555,0.67,0.12,increase
213,560.4,560,0.4,0.07,increase
214,445.17,445,0.17,0.04,increase
215,445.17,445,0.17,0.04,increase
216,450.77,450,0.77,0.17,increase
217,440.47,440,0.47,0.11,increase
218,450.77,450,0.77,0.17,increase
219,365.53,365,0.53,0.15,increase
220,365.53,365,0.53,0.15,increase
221,373.73,375,-1.27,-0.34,decrease
222,361.0,360,1.0,0.28,increase
223,678.73,670,8.73,1.3,increase
224,549.63,550,-0.37,-0.07,decrease
225,549.63,550,-0.37,-0.07,decrease
226,555.07,555,0.07,0.01,increase
227,560.23,560,0.23,0.04,increase
228,445.17,445,0.17,0.04,increase
229,445.17,445,0.17,0.04,increase
230,450.93,450,0.93,0.21,increase
231,441.33,440,1.33,0.3,increase
232,450.93,450,0.93,0.21,increase
233,366.3,365,1.3,0.36,increase
234,366.3,365,1.3,0.36,increase
235,374.1,375,-0.9,-0.24,decrease
236,356.1,360,-3.9,-1.08,decrease
237,677.93,670,7.93,1.18,increase
238,645.4,645,0.4,0.06,increase
239,645.4,645,0.4,0.06,increase
240,648.73,650,-1.27,-0.19,decrease
241,659.7,660,-0.3,-0.05,decrease
242,519.67,520,-0.33,-0.06,decrease
243,519.67,520,-0.33,-0.06,decrease
244,531.07,530,1.07,0.2,increase
245,505.47,515,-9.53,-1.85,decrease
246,531.07,530,1.07,0.2,increase
247,428.83,430,-1.17,-0.27,decrease
248,428.83,430,-1.17,-0.27,decrease
249,443.4,440,3.4,0.77,increase
250,424.67,425,-0.33,-0.08,decrease
251,789.53,790,-0.47,-0.06,decrease
252,724.4,725,-0.6,-0.08,decrease
253,724.4,725,-0.6,-0.08,decrease
254,735.8,735,0.8,0.11,increase
255,736.23,740,-3.77,-0.51,decrease
256,586.07,585,1.07,0.18,increase
257,586.07,585,1.07,0.18,increase
258,597.0,595,2.0,0.34,increase
259,584.8,580,4.8,0.83,increase
260,597.0,595,2.0,0.34,increase
261,486.53,485,1.53,0.32,increase
262,486.53,485,1.53,0.32,increase
263,497.4,495,2.4,0.48,increase
264,478.9,475,3.9,0.82,increase
265,911.6,885,26.6,3.01,increase
266,629.4,630,-0.6,-0.1,decrease
267,629.4,630,-0.6,-0.1,decrease
268,635.5,635,0.5,0.08,increase
269,646.73,645,1.73,0.27,increase
270,510.13,510,0.13,0.03,increase
271,510.13,510,0.13,0.03,increase
272,520.1,520,0.1,0.02,increase
273,505.57,505,0.57,0.11,increase
274,520.1,520,0.1,0.02,increase
275,420.17,420,0.17,0.04,increase
276,420.17,420,0.17,0.04,increase
277,429.9,430,-0.1,-0.02,decrease
278,415.83,415,0.83,0.2,increase
279,770.93,770,0.93,0.12,increase
280,630.17,630,0.17,0.03,increase
281,630.17,630,0.17,0.03,increase
282,635.8,635,0.8,0.13,increase
283,645.8,645,0.8,0.12,increase
284,509.73,510,-0.27,-0.05,decrease
285,509.73,510,-0.27,-0.05,decrease
286,520.23,520,0.23,0.04,increase
287,505.9,505,0.9,0.18,increase
288,520.23,520,0.23,0.04,increase
289,420.43,420,0.43,0.1,increase
290,420.43,420,0.43,0.1,increase
291,429.63,430,-0.37,-0.09,decrease
292,416.27,415,1.27,0.31,increase
293,770.93,770,0.93,0.12,increase
294,626.4,630,-3.6,-0.57,decrease
295,626.4,630,-3.6,-0.57,decrease
296,632.3,635,-2.7,-0.43,decrease
297,639.57,645,-5.43,-0.84,decrease
298,510.03,510,0.03,0.01,increase
299,510.03,510,0.03,0.01,increase
300,517.57,520,-2.43,-0.47,decrease
301,505.9,505,0.9,0.18,increase
302,517.57,520,-2.43,-0.47,decrease
303,421.43,420,1.43,0.34,increase
304,421.43,420,1.43,0.34,increase
305,430.17,430,0.17,0.04,increase
306,417.47,415,2.47,0.59,increase
307,769.67,770,-0.33,-0.04,decrease
308,464.97,465,-0.03,-0.01,decrease
309,464.97,465,-0.03,-0.01,decrease
310,469.9,470,-0.1,-0.02,decrease
311,474.77,475,-0.23,-0.05,decrease
312,380.0,380,0.0,0.0,hold
313,380.0,380,0.0,0.0,hold
314,385.0,385,0.0,0.0,hold
315,374.97,375,-0.03,-0.01,decrease
316,385.0,385,0.0,0.0,hold
317,309.93,310,-0.07,-0.02,decrease
318,309.93,310,-0.07,-0.02,decrease
319,320.0,320,0.0,0.0,hold
320,305.0,305,0.0,0.0,hold
321,570.03,570,0.03,0.01,increase
322,464.9,465,-0.1,-0.02,decrease
323,464.9,465,-0.1,-0.02,decrease
324,469.63,470,-0.37,-0.08,decrease
325,474.67,475,-0.33,-0.07,decrease
326,380.0,380,0.0,0.0,hold
327,380.0,380,0.0,0.0,hold
328,385.0,385,0.0,0.0,hold
329,374.87,375,-0.13,-0.04,decrease
330,385.0,385,0.0,0.0,hold
331,309.93,310,-0.07,-0.02,decrease
332,309.93,310,-0.07,-0.02,decrease
333,319.93,320,-0.07,-0.02,decrease
334,305.0,305,0.0,0.0,hold
335,570.0,570,0.0,0.0,hold
336,535.23,535,0.23,0.04,increase
337,535.23,535,0.23,0.04,increase
338,543.07,545,-1.93,-0.35,decrease
339,550.63,550,0.63,0.12,increase
340,434.2,435,-0.8,-0.18,decrease
341,434.2,435,-0.8,-0.18,decrease
342,438.83,440,-1.17,-0.27,decrease
343,430.7,430,0.7,0.16,increase
344,438.83,440,-1.17,-0.27,decrease
345,359.67,360,-0.33,-0.09,decrease
346,359.67,360,-0.33,-0.09,decrease
347,363.93,365,-1.07,-0.29,decrease
348,355.43,355,0.43,0.12,increase
349,651.97,655,-3.03,-0.46,decrease
350,580.97,580,0.97,0.17,increase
351,580.97,580,0.97,0.17,increase
352,585.0,585,0.0,0.0,hold
353,593.73,595,-1.27,-0.21,decrease
354,469.77,470,-0.23,-0.05,decrease
355,469.77,470,-0.23,-0.05,decrease
356,474.37,475,-0.63,-0.13,decrease
357,466.27,465,1.27,0.27,increase
358,474.37,475,-0.63,-0.13,decrease
359,389.53,390,-0.47,-0.12,decrease
360,389.53,390,-0.47,-0.12,decrease
361,392.13,395,-2.87,-0.73,decrease
