,predicted_price,current_price,price_delta,pct_change,action
0,30.09,29.99,0.1,0.32,increase
1,35.08,34.99,0.09,0.24,increase
2,40.02,39.99,0.03,0.08,increase
3,45.03,44.99,0.04,0.08,increase
4,50.02,49.99,0.03,0.06,increase
5,55.02,54.99,0.03,0.05,increase
6,60.01,59.99,0.02,0.03,increase
7,64.92,64.99,-0.07,-0.11,decrease
8,69.82,69.99,-0.17,-0.25,decrease
9,74.69,74.99,-0.3,-0.4,decrease
10,30.25,29.99,0.26,0.87,increase
11,35.09,34.99,0.1,0.28,increase
12,40.06,39.99,0.07,0.18,increase
13,45.04,44.99,0.05,0.12,increase
14,50.03,49.99,0.04,0.08,increase
15,54.92,54.99,-0.07,-0.12,decrease
16,59.9,59.99,-0.09,-0.15,decrease
17,64.87,64.99,-0.12,-0.19,decrease
18,69.82,69.99,-0.17,-0.25,decrease
19,74.62,74.99,-0.37,-0.5,decrease
20,30.28,29.99,0.29,0.98,increase
21,35.17,34.99,0.18,0.51,increase
22,40.09,39.99,0.1,0.24,increase
23,45.06,44.99,0.07,0.15,increase
24,50.0,49.99,0.01,0.02,hold
25,55.0,54.99,0.01,0.02,increase
26,59.97,59.99,-0.02,-0.03,decrease
27,64.95,64.99,-0.04,-0.06,decrease
28,69.92,69.99,-0.07,-0.1,decrease
29,74.85,74.99,-0.14,-0.19,decrease
30,30.09,29.99,0.1,0.35,increase
31,35.06,34.99,0.07,0.19,increase
32,40.04,39.99,0.05,0.13,increase
33,45.03,44.99,0.04,0.08,increase
34,50.02,49.99,0.03,0.06,increase
35,55.02,54.99,0.03,0.05,increase
36,60.01,59.99,0.02,0.03,increase
37,64.92,64.99,-0.07,-0.11,decrease
38,69.82,69.99,-0.17,-0.25,decrease
39,74.69,74.99,-0.3,-0.4,decrease
40,30.25,29.99,0.26,0.87,increase
41,35.09,34.99,0.1,0.28,increase
42,40.06,39.99,0.07,0.18,increase
43,45.04,44.99,0.05,0.12,increase
44,50.03,49.99,0.04,0.08,increase
45,54.92,54.99,-0.07,-0.12,decrease
46,59.9,59.99,-0.09,-0.15,decrease
47,64.87,64.99,-0.12,-0.19,decrease
48,69.82,69.99,-0.17,-0.25,decrease
49,74.62,74.99,-0.37,-0.5,decrease
50,30.28,29.99,0.29,0.98,increase
51,35.17,34.99,0.18,0.51,increase
52,40.09,39.99,0.1,0.24,increase
53,45.06,44.99,0.07,0.15,increase
